neighbourhood_name,neighbourhood_latitude,neighbourhood_longitude,venue,venue_id,venue_category
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Hale Coffee,13035,Coffee Shop
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Campbell Avenue Park,16032,Park
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Happy Bakery & Pastries,13002,Bakery
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Piri-Piri,13026,BBQ Joint
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Cafe Neon,13034,Café
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Halo Brewery,13029,Brewery
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Peppers Cafe,13034,Café
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Boo Radleys Junction Bar N Gri,13022,Sports Bar
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Rehearsal Factory,11152,Recording Studio
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,FreshCo,17069,Grocery Store / Supermarket
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Campbell Park Rink,18056,Skating Rink
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Dina's Coin Laundry Inc,11069,Laundry Service
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Henriques Supermarket,17069,Grocery Store / Supermarket
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,U B Signs & Graphics,17112,Print Store
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Underline Studio Inc,11167,Technology Business
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Station Cold Brew Coffee Co,13034,Café
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,The Angell Gallery,10004,Art Gallery
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,Beer Store,17058,Beer Store
Junction-Wallace Emerson,43.66530387942353,-79.44512356984607,FilmPlus,17091,Hobby Store
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Eggspectation Bell Trinity Square,13028,Breakfast Spot
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Indigo,17018,Bookstore
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Poke Guys,13145,Fast Food Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Lush,17030,Cosmetics Store
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,BCBGMAXAZRIA at Hudson's Bay,17043,Clothing Store
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Trattoria Mercatto,13236,Italian Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,The Four Seasons Centre for the Performing Arts,10039,Music Venue
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,CF Toronto Eaton Centre,17000,Retail
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Rosalinda,13377,Vegan and Vegetarian Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,The Keg Steakhouse + Bar,13065,Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Muji,17096,Miscellaneous Store
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,HomeSense,17082,Furniture and Home Store
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Richmond Station,13068,American Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Samsung Experience Store,17025,Electronics Store
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Paramount Fine Foods,13309,Middle Eastern Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,CAA Ed Mirvish Theatre,10024,Movie Theater
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Uniqlo ユニクロ,17043,Clothing Store
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Ruth's Chris Steak House,13065,Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,JOEY Eaton Centre,13065,Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Cactus Club Cafe,13068,American Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Elgin & Winter Garden Theatre Ctr,10039,Music Venue
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Leña Restaurante,13297,Latin American Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,The Chase Fish & Oyster,13314,New American Restaurant
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,The 3 Brewers,13006,Beer Bar
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Yonge-Dundas Square,16041,Plaza
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Kamiya Hairdressing,11061,Health and Beauty Service
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Booster Juice,13059,Juice Bar
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Starbucks,13035,Coffee Shop
Yonge-Bay Corridor,43.652951615850355,-79.3837280913492,Jazz Bistro,10040,Jazz and Blues Venue
